id,title,artist,artist_ids,album,popularity,duration_ms,genres,bpm,energy,valence,danceability,loudness,bpm_estimated,language,spotify_url
7egzLARdSJx1UeOsB4D1Mw,.let's Get It Going,DJ Kamal Supreme,5Oir5zMAdY6S88DH0brPwb,Bhangra Supreme Workout & Dance Party,50,223500,,131,0.88,0.6,0.47,-12.5,True,hindi,https://open.spotify.com/track/7egzLARdSJx1UeOsB4D1Mw
1UvBALIHK64KmpnPtEg1DZ,10 Mint,Siippyy Gill,2zstvC7L2UiHZZo5Nrz9gY,Dus Mint,50,216255,,111,0.53,0.63,0.42,-10.0,True,hindi,https://open.spotify.com/track/1UvBALIHK64KmpnPtEg1DZ
0o4zLLuFXL91bNcOUsDs7t,100 meters - For Workout,Hiroaki Tsutsumi,4uXJgaCc1GtHWtFq8CmPmQ,"""100 METERS / HYAKUEMU."" ORIGINAL SOUNDTRACK",50,262525,,165,0.87,0.24,0.41,-8.4,True,english,https://open.spotify.com/track/0o4zLLuFXL91bNcOUsDs7t
43mQrff0kbQZ7DFqfSpzT2,140 BPM Workout Music,Xtreme Cardio Workout,6LdYcUQhPIhkcQJZM7Tpok,Fast Aerobics Music (140 BPM): Fast Beat Music for Extreme Aerobics Workout,50,236000,,110,0.67,0.24,0.44,-5.6,True,english,https://open.spotify.com/track/43mQrff0kbQZ7DFqfSpzT2
17NugyNtDtZbGTW2hQNPOU,21,"Gminxr, Tegi Pannu, Zehr Vibe, Sardar Khehra",4vvW590Gq8dNWsP5BM9FkS|78sIlhMniFgXlOrNWnPtIl|48cVwD5hffidwvlxLCc2pm|3YhEUyspZuU7pfEzmpFCsP,HIT LIST,50,136115,,157,0.5,0.48,0.45,-8.6,True,hindi,https://open.spotify.com/track/17NugyNtDtZbGTW2hQNPOU
66S5dWQsLbiHmClB5emJCi,"23 Theme (From ""Aa23"")","Anirudh Ravichander, Hector Salamanca, Heisenberg",4zCH9qm4R2DADamUHMCa6O|5vDIDpttklXxigXvqdiXwU|3bsrlEbnX8sWwXlTe80RSr,"23 Theme (From ""Aa23"")",50,47297,,116,0.4,0.85,0.6,-6.9,True,english,https://open.spotify.com/track/66S5dWQsLbiHmClB5emJCi
4gJaZey5wnjLXTXvqYyMwN,24K Magic - Remix,Workout Music,5njMahLKD1tLJ5bejvqseV,100 Gym & Fitness Workout Hits! Playlist,50,270000,,133,0.74,0.82,0.72,-13.7,True,english,https://open.spotify.com/track/4gJaZey5wnjLXTXvqYyMwN
5ira9VcDBJhaEVSrbHOlIK,295,Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,Moosetape,50,270000,,136,0.6,0.38,0.47,-10.5,True,english,https://open.spotify.com/track/5ira9VcDBJhaEVSrbHOlIK
2flXMVSog0TFHtSrwst5uv,2U - Workout Remix 135 bpm,SuperFitness,6L74J3BzylQkJF7rBXTpgT,Aerobic Hits Session 2018: 60 Minutes Mixed Compilation for Fitness & Workout 135 bpm/32 Count,50,213413,,94,0.46,0.66,0.31,-8.9,True,english,https://open.spotify.com/track/2flXMVSog0TFHtSrwst5uv
6n2rCnhwCsW2Ug071liq0L,3 AM IN MUMBAI,"Baggh-e SMG, Farmaan SMG, BIG KAY SMG",4eu7AyzvnafwOygTQlfAMu|3yXzSYXBOTZ0m1QAfjlzKK|0z4Mzficie9vUzDmz4Hy9G,F.A.T.H.E.R,50,146739,,108,0.84,0.88,0.52,-7.7,True,hindi,https://open.spotify.com/track/6n2rCnhwCsW2Ug071liq0L
